leave_days,leave_balance,performance_score,absence_count,job_level,years_of_experience,salary_grade,overtime_hours,approved
12,26,0.75,1,mid,12,B,32,1
12,24,0.53,2,senior,16,A,1,1
1,27,0.69,6,junior,7,A,53,1
13,6,0.34,7,junior,19,B,13,0
13,23,0.71,4,senior,17,C,44,1
15,17,0.63,0,junior,22,A,3,1
9,24,0.39,1,mid,24,A,55,1
3,25,0.67,4,junior,16,B,24,1
13,8,0.54,5,mid,18,C,40,0
1,19,0.52,6,lead,16,D,53,1
14,26,0.32,9,manager,19,A,43,1
15,7,0.51,0,senior,2,B,47,0
1,27,0.65,6,manager,29,D,39,1
14,25,0.59,4,junior,18,C,15,0
2,25,0.44,7,mid,12,C,31,0
9,2,0.79,1,junior,16,B,30,0
10,28,0.6,3,lead,24,C,51,1
2,4,0.6,4,junior,22,B,38,1
4,10,0.59,4,senior,2,C,38,1
5,28,0.77,9,junior,6,D,34,0
13,10,0.55,3,mid,23,E,0,0
12,27,0.54,8,senior,4,A,7,1
14,9,0.53,2,senior,21,A,8,0
10,6,0.34,10,mid,2,C,46,0
10,27,0.6,5,mid,21,E,0,0
6,25,0.93,4,junior,12,E,13,1
3,16,0.37,10,mid,5,E,57,0
15,4,0.59,3,mid,8,C,39,0
14,10,0.35,6,manager,9,E,18,0
5,0,0.54,5,junior,22,A,18,0
10,7,0.69,6,senior,14,E,13,0
14,9,0.9,7,manager,14,A,14,0
12,13,0.78,9,manager,3,E,52,1
14,21,0.56,1,manager,29,A,51,1
2,28,0.38,10,senior,27,C,44,0
6,19,0.72,6,junior,16,C,47,1
13,0,0.41,10,senior,4,B,29,0
6,20,0.67,6,mid,5,E,27,0
3,24,0.87,9,manager,23,A,5,1
15,25,0.76,1,lead,24,A,25,1
2,13,0.77,10,manager,28,A,47,1
10,14,0.33,3,senior,5,D,19,0
4,29,0.67,5,manager,26,A,30,1
8,13,0.94,5,mid,15,D,13,1
1,0,0.82,9,senior,28,E,37,0
14,1,0.44,9,mid,28,D,47,0
12,8,0.55,1,senior,10,C,16,0
12,7,0.67,8,junior,26,A,37,0
4,0,0.74,2,lead,9,B,25,0
9,27,0.35,5,manager,20,B,35,1
8,24,0.9,10,manager,11,B,19,0
10,8,0.46,0,junior,17,E,12,0
4,30,0.35,7,senior,29,A,6,1
8,4,0.64,8,lead,11,D,52,1
4,8,0.55,8,manager,21,D,16,0
6,20,0.81,2,manager,10,D,60,1
8,30,0.72,7,junior,25,A,32,1
3,12,0.32,7,lead,5,D,49,0
12,23,0.87,1,mid,16,A,44,1
1,4,0.45,2,senior,18,D,20,1
7,15,0.59,9,senior,3,A,19,1
9,1,0.55,8,mid,8,C,21,0
5,8,0.88,4,junior,30,E,49,1
4,8,0.55,4,lead,9,C,40,0
1,9,0.93,10,lead,15,E,36,0
2,19,0.31,8,junior,9,E,24,0
11,2,0.55,2,junior,1,B,52,0
3,21,0.32,10,junior,25,B,15,0
12,9,0.54,2,manager,3,B,31,0
4,10,0.42,6,junior,6,A,44,1
13,9,0.8,6,junior,8,A,6,0
11,1,0.37,0,mid,17,C,19,0
11,6,0.93,1,mid,9,A,27,0
3,6,0.88,4,manager,10,B,14,1
4,10,0.37,5,lead,1,E,58,0
10,21,0.6,4,lead,3,D,6,1
13,18,0.75,8,senior,30,D,46,1
4,14,0.38,7,mid,12,E,4,0
11,3,0.57,7,junior,19,A,29,0
3,10,0.84,2,manager,9,C,51,1
7,28,0.61,0,mid,15,C,59,1
11,22,0.41,2,junior,19,B,60,0
6,14,0.42,6,junior,18,A,47,1
15,22,0.92,0,junior,15,D,38,1
12,16,0.31,10,junior,12,A,34,1
9,19,0.81,9,manager,16,B,8,0
12,18,0.37,0,junior,4,E,33,0
13,8,0.8,0,senior,25,D,20,0
5,22,0.7,3,junior,4,B,21,1
1,4,0.52,8,manager,12,B,56,0
9,18,0.43,10,lead,13,E,44,0
15,11,0.93,10,senior,20,E,46,1
13,25,0.75,9,lead,21,A,60,1
4,13,0.32,6,senior,23,B,50,0
6,15,0.89,10,manager,28,C,51,1
11,26,0.66,3,senior,24,B,27,0
12,12,0.88,7,manager,18,D,10,0
11,3,0.61,5,mid,26,A,33,0
6,4,0.63,6,lead,4,C,53,1
13,13,0.51,5,senior,9,C,39,1
7,24,0.92,1,lead,26,A,6,1
3,26,0.56,9,lead,13,A,38,1
6,8,0.5,8,junior,13,A,60,1
12,22,0.31,6,senior,6,A,51,1
5,26,0.64,6,junior,16,B,57,1
9,14,0.47,5,lead,1,C,51,0
3,5,0.46,4,lead,17,B,6,1
13,10,0.61,6,lead,6,E,36,0
15,12,0.38,6,junior,21,D,16,0
14,3,0.58,1,mid,15,C,31,0
5,6,0.89,6,mid,15,E,55,1
5,23,0.42,6,mid,12,E,26,0
1,13,0.48,7,mid,13,E,59,0
4,19,0.73,5,senior,6,E,36,1
12,17,0.76,1,junior,6,E,43,1
9,2,0.52,2,junior,15,A,41,0
15,22,0.85,9,manager,3,D,45,1
15,16,0.65,7,junior,4,E,36,0
15,18,0.36,7,manager,26,B,8,0
2,24,0.35,4,senior,15,E,21,1
15,15,0.78,9,junior,17,B,10,0
10,22,0.63,1,mid,4,D,54,1
2,27,0.38,8,mid,18,D,15,0
11,7,0.78,4,senior,12,C,15,0
10,28,0.62,5,mid,6,A,26,1
4,18,0.57,1,mid,29,D,32,1
5,18,0.6,5,senior,23,C,32,0
5,3,0.57,4,manager,23,A,0,0
5,22,0.42,2,manager,8,E,20,0
15,3,0.34,10,lead,16,E,57,0
13,7,0.52,1,senior,23,A,38,0
5,1,0.38,1,mid,23,E,56,0
6,4,0.74,10,lead,19,C,51,1
5,13,0.55,6,lead,20,E,10,0
4,29,0.54,3,mid,15,A,40,1
13,3,0.5,6,manager,30,C,38,0
14,1,0.37,1,senior,16,B,19,0
5,2,0.44,9,mid,14,A,47,0
12,0,0.62,8,manager,10,B,57,1
4,21,0.57,3,mid,26,A,32,1
3,8,0.86,4,junior,30,E,13,1
12,0,0.76,4,mid,21,B,19,0
5,30,0.55,0,senior,13,A,20,1
8,16,0.46,6,manager,15,D,42,0
2,27,0.37,1,lead,30,C,20,0
10,6,0.68,5,mid,27,D,44,1
8,26,0.44,4,mid,27,E,32,1
6,6,0.72,10,lead,30,D,8,0
15,11,0.9,8,junior,5,C,43,1
10,10,0.7,9,senior,3,E,9,0
15,14,0.72,7,junior,17,B,41,1
12,1,0.45,9,mid,6,D,33,0
11,10,0.5,8,junior,22,E,44,0
10,22,0.37,9,manager,13,E,8,0
14,25,0.94,6,junior,6,E,23,1
5,6,0.53,10,mid,1,B,27,0
1,17,0.57,5,senior,8,D,55,0
6,26,0.44,0,manager,25,E,53,0
4,27,0.43,8,junior,4,D,35,0
9,14,0.51,3,mid,25,D,46,0
2,3,0.86,4,mid,27,D,57,1
14,16,0.74,7,manager,12,E,29,0
4,27,0.9,8,lead,1,B,36,0
3,11,0.56,1,junior,9,B,48,1
1,5,0.34,4,mid,15,B,31,1
5,5,0.83,6,lead,6,D,48,1
1,16,0.41,9,mid,9,C,60,0
3,8,0.4,6,lead,27,D,49,0
3,28,0.78,5,senior,18,E,7,1
3,5,0.44,3,mid,28,A,48,1
5,12,0.61,10,manager,1,A,57,1
15,25,0.68,0,lead,30,C,12,1
7,17,0.51,8,mid,17,E,15,0
11,15,0.94,7,manager,16,E,48,1
11,3,0.48,1,senior,14,B,29,0
9,5,0.54,7,senior,3,B,1,0
2,10,0.49,2,lead,21,C,42,1
1,23,0.74,10,manager,5,A,3,1
14,17,0.84,3,senior,16,E,0,1
12,2,0.88,1,junior,15,E,52,1
5,12,0.68,5,manager,23,D,3,0
13,11,0.33,7,mid,22,C,46,0
13,1,0.57,2,junior,25,C,42,0
5,26,0.46,7,senior,26,B,53,0
12,24,0.85,7,manager,11,E,3,0
3,2,0.43,8,lead,2,B,48,0
14,1,0.52,9,mid,8,D,30,0
5,8,0.44,9,mid,11,E,60,0
8,8,0.71,8,mid,14,B,57,1
5,25,0.67,9,junior,9,B,48,1
6,17,0.33,2,mid,22,A,13,1
2,11,0.43,5,manager,15,E,50,0
14,11,0.63,9,lead,15,E,0,0
12,7,0.87,0,lead,10,A,8,0
13,17,0.56,0,senior,9,D,30,1
3,2,0.68,0,lead,28,C,20,0
4,28,0.92,7,manager,2,C,45,1
7,24,0.66,0,senior,11,E,44,1
6,27,0.42,8,mid,27,A,32,1
2,20,0.72,10,senior,17,D,40,0
11,28,0.55,2,lead,22,D,33,0
2,2,0.68,6,manager,23,C,56,1
8,19,0.75,9,mid,7,A,25,1
15,22,0.32,1,junior,12,A,40,1
13,11,0.78,4,mid,6,B,11,0
8,7,0.81,10,senior,8,C,40,0
7,10,0.55,9,senior,16,A,54,1
3,17,0.6,2,mid,6,E,56,1
15,6,0.79,0,junior,13,C,19,0
7,11,0.44,1,mid,21,B,43,1
9,16,0.58,4,mid,10,E,57,0
7,16,0.31,0,mid,5,A,26,1
12,1,0.82,5,manager,28,E,23,0
8,25,0.57,3,manager,22,C,12,0
5,10,0.86,2,lead,14,B,14,1
15,9,0.5,10,senior,7,D,43,0
1,2,0.89,4,senior,22,A,26,1
10,23,0.48,0,lead,10,C,31,0
9,9,0.48,6,junior,24,A,50,1
1,23,0.32,7,senior,15,D,60,0
14,18,0.93,7,senior,15,B,37,0
4,22,0.5,10,junior,6,E,53,0
15,2,0.56,7,senior,13,C,13,0
7,13,0.71,7,senior,7,E,25,0
11,10,0.82,0,junior,23,C,23,0
15,25,0.68,8,manager,29,E,33,0
1,15,0.36,3,lead,24,B,50,0
13,28,0.7,0,manager,1,A,54,1
1,10,0.77,1,junior,22,D,40,1
13,8,0.95,3,mid,22,A,52,1
5,15,0.54,10,lead,17,E,52,0
9,22,0.46,5,mid,25,C,2,0
14,3,0.56,10,lead,1,A,53,0
15,10,0.4,3,manager,16,B,47,0
5,0,0.92,10,junior,28,B,27,0
1,7,0.92,2,junior,10,C,0,1
14,29,0.7,0,mid,19,E,12,0
13,12,0.56,7,junior,26,A,6,0
14,28,0.86,1,lead,2,C,2,1
6,25,0.82,3,senior,4,C,34,1
14,28,0.68,0,lead,7,E,16,0
11,3,0.6,0,mid,20,C,22,0
10,26,0.46,0,mid,24,B,18,0
13,28,0.61,2,manager,30,D,50,1
5,13,0.63,4,manager,28,E,28,0
9,29,0.48,10,lead,29,B,53,0
12,30,0.32,6,lead,28,D,16,1
10,2,0.92,6,senior,26,D,32,0
5,2,0.4,1,senior,20,A,22,0
9,15,0.86,3,manager,6,C,8,1
3,19,0.52,2,manager,15,B,44,1
14,27,0.51,10,lead,6,E,17,0
11,5,0.74,5,mid,26,B,38,0
4,12,0.63,4,mid,15,D,50,1
8,2,0.49,0,senior,7,B,24,0
13,9,0.89,9,lead,19,D,12,0
9,27,0.56,6,junior,2,C,41,1
9,4,0.42,8,lead,27,D,32,0
12,27,0.94,8,junior,1,D,54,1
12,7,0.8,10,lead,28,A,35,0
3,5,0.92,10,manager,14,A,57,1
8,26,0.52,3,lead,6,C,11,0
14,11,0.33,0,senior,5,B,46,0
8,1,0.7,0,senior,17,E,5,0
6,13,0.73,7,mid,2,E,14,0
9,15,0.35,4,senior,25,A,59,1
14,8,0.33,1,lead,5,E,60,0
11,16,0.47,3,lead,5,D,25,1
11,20,0.8,3,senior,20,C,23,1
4,12,0.85,2,manager,27,E,41,1
13,14,0.52,9,senior,22,E,16,0
9,26,0.33,2,manager,27,B,34,1
3,21,0.34,2,manager,18,E,34,0
6,21,0.46,1,lead,5,A,1,1
5,30,0.8,2,manager,11,D,60,1
4,14,0.34,7,manager,17,D,7,0
2,28,0.94,10,lead,30,E,44,1
12,6,0.91,0,senior,19,A,37,0
9,17,0.3,6,lead,20,B,9,0
4,0,0.65,2,lead,25,B,18,0
4,25,0.39,10,mid,21,D,11,0
5,7,0.77,5,senior,3,D,60,1
13,20,0.64,6,mid,23,C,32,1
15,13,0.41,10,lead,6,D,59,0
13,14,0.33,10,junior,16,D,18,0
5,16,0.41,5,senior,9,D,39,1
7,27,0.79,8,senior,5,D,13,0
10,12,0.76,0,junior,29,A,31,1
1,25,0.8,10,junior,10,A,50,1
8,8,0.7,2,junior,9,E,28,0
6,2,0.45,10,junior,22,C,15,0
14,22,0.34,7,senior,3,A,36,1
7,6,0.79,0,junior,26,A,4,0
12,29,0.49,8,manager,1,C,29,0
10,30,0.56,7,junior,17,A,39,1
6,6,0.83,2,senior,25,A,1,1
9,4,0.31,8,lead,26,B,10,0
2,7,0.89,9,manager,18,B,18,0
8,15,0.65,2,mid,10,D,17,0
8,10,0.76,9,mid,9,E,11,0
1,30,0.76,7,mid,24,D,0,0
6,30,0.62,7,junior,18,B,16,0
14,25,0.77,7,mid,5,A,60,1
8,6,0.46,3,manager,6,C,28,0
1,16,0.68,1,senior,6,A,39,1
3,30,0.49,7,mid,4,C,40,0
13,2,0.48,9,junior,25,E,30,0
15,15,0.71,9,mid,8,C,45,1
13,29,0.42,8,manager,12,D,18,0
8,16,0.78,3,junior,17,D,2,1
6,10,0.9,6,senior,4,E,41,1
8,20,0.75,1,mid,10,C,35,1
15,25,0.9,0,mid,4,E,60,1
4,30,0.45,3,lead,15,D,41,0
11,4,0.41,0,manager,4,E,44,0
5,1,0.67,3,lead,16,D,36,0
6,5,0.61,4,lead,19,D,27,0
10,11,0.62,2,mid,12,D,9,0
7,13,0.61,2,manager,4,C,32,1
3,10,0.7,6,lead,2,E,12,1
8,28,0.81,1,lead,27,C,42,1
13,4,0.86,4,manager,2,C,2,0
7,26,0.31,5,senior,10,D,16,1
9,10,0.33,8,senior,3,A,43,1
4,10,0.59,6,junior,26,E,34,1
12,15,0.44,0,junior,5,C,56,0
1,26,0.82,7,mid,9,C,52,1
12,11,0.65,7,manager,13,D,28,0
5,17,0.9,8,manager,2,A,59,1
7,23,0.57,8,mid,2,E,7,0
15,26,0.49,3,senior,28,B,32,0
14,0,0.78,5,manager,20,B,5,0
10,6,0.38,0,mid,18,E,43,0
6,20,0.37,8,mid,2,B,15,0
12,23,0.45,2,lead,29,B,9,1
6,26,0.47,4,junior,16,D,50,0
8,10,0.55,10,junior,25,D,40,0
3,8,0.47,4,senior,22,C,31,1
5,13,0.44,10,mid,3,E,26,0
4,17,0.61,4,junior,23,B,41,1
4,29,0.59,10,junior,25,E,21,0
10,9,0.67,10,junior,16,A,48,1
12,23,0.95,0,mid,4,D,60,1
10,10,0.61,2,lead,6,B,5,1
11,5,0.85,0,mid,25,B,20,0
14,19,0.76,9,manager,2,A,31,1
15,21,0.64,3,senior,7,C,35,1
2,19,0.78,4,lead,26,C,30,1
4,5,0.73,7,senior,12,C,13,0
8,29,0.56,3,manager,29,A,22,1
8,7,0.93,10,junior,20,C,57,1
7,19,0.83,4,senior,24,C,29,1
13,18,0.58,7,lead,25,D,30,0
10,5,0.78,4,mid,15,A,50,1
10,30,0.51,6,junior,11,A,31,1
15,6,0.92,2,junior,16,B,45,1
4,19,0.69,6,mid,23,B,47,1
14,11,0.35,8,lead,27,A,20,0
15,6,0.32,7,mid,4,E,38,0
8,4,0.49,5,mid,21,C,24,0
2,22,0.35,10,senior,16,A,59,1
1,12,0.72,9,junior,21,E,58,1
3,26,0.84,8,manager,3,B,56,1
4,22,0.91,9,mid,16,B,25,0
14,25,0.58,6,manager,3,E,3,1
2,23,0.72,4,lead,18,D,0,1
5,15,0.66,8,lead,14,E,0,0
8,22,0.54,5,mid,6,C,28,1
13,8,0.64,5,mid,14,B,58,1
14,1,0.52,6,senior,28,C,46,0
11,20,0.87,6,junior,8,B,0,1
10,10,0.69,6,junior,22,A,0,1
12,12,0.91,6,lead,14,B,5,1
8,25,0.57,10,mid,17,C,36,0
5,14,0.42,5,senior,4,E,11,1
11,10,0.71,3,manager,8,D,4,0
15,25,0.5,1,manager,24,A,29,1
15,19,0.69,6,lead,21,C,23,1
10,2,0.6,9,senior,8,C,23,0
4,7,0.34,2,mid,29,E,38,0
15,19,0.32,8,lead,27,C,29,0
15,13,0.36,8,junior,19,E,47,0
13,27,0.7,3,lead,28,E,8,1
6,5,0.43,2,mid,26,C,49,0
4,25,0.72,5,manager,26,D,39,1
5,0,0.32,3,junior,26,D,34,0
7,9,0.75,3,junior,8,A,27,1
4,30,0.38,9,senior,2,D,47,0
11,19,0.91,4,lead,20,E,42,1
8,14,0.38,8,lead,7,C,43,0
6,13,0.84,9,junior,8,E,10,0
2,2,0.88,1,senior,17,C,29,1
15,18,0.44,7,manager,29,D,48,0
3,13,0.89,7,lead,6,B,11,0
7,26,0.57,0,lead,8,B,43,1
6,9,0.44,1,senior,24,C,45,0
1,8,0.8,3,lead,21,B,26,1
11,3,0.81,3,manager,9,C,27,0
3,11,0.93,5,mid,11,D,22,1
9,9,0.33,0,manager,16,C,10,0
4,1,0.63,8,senior,2,E,15,0
8,29,0.74,3,lead,1,C,5,1
13,10,0.45,0,mid,21,E,34,0
15,24,0.87,7,lead,18,B,35,0
10,10,0.82,0,senior,8,B,53,1
7,20,0.42,2,lead,11,C,8,0
13,15,0.89,3,mid,25,C,42,1
12,1,0.78,3,manager,29,E,35,0
11,3,0.87,7,junior,23,A,35,0
4,15,0.67,2,senior,3,E,0,1
14,17,0.71,7,junior,18,A,2,1
10,16,0.54,10,junior,5,A,34,1
14,2,0.7,7,senior,25,E,8,0
15,16,0.53,4,senior,20,A,44,1
15,10,0.33,0,senior,15,A,20,0
11,20,0.38,7,manager,23,A,31,1
7,2,0.9,5,junior,25,E,57,1
11,24,0.48,9,manager,18,B,40,0
15,8,0.64,1,manager,25,D,17,0
10,11,0.54,8,mid,9,B,9,0
1,0,0.44,0,lead,29,A,35,0
9,28,0.61,3,mid,8,E,12,0
9,25,0.91,2,manager,23,D,0,1
5,11,0.78,5,lead,2,C,50,1
6,21,0.64,8,senior,29,E,5,0
13,9,0.56,1,manager,30,E,33,0
11,8,0.72,2,junior,12,C,2,0
15,14,0.45,3,lead,6,D,10,0
9,16,0.46,2,junior,3,C,56,0
15,24,0.52,0,manager,12,B,38,1
3,29,0.58,3,junior,19,A,59,1
4,19,0.4,5,senior,23,E,39,0
9,29,0.77,10,senior,21,E,11,0
14,24,0.75,2,lead,27,D,4,1
2,13,0.78,5,manager,7,B,42,1
6,25,0.41,9,junior,21,A,24,1
15,28,0.62,9,senior,10,D,36,0
11,21,0.94,8,junior,21,C,31,0
3,11,0.9,7,manager,1,C,30,0
8,7,0.75,1,lead,10,D,22,0
15,25,0.6,6,lead,27,D,31,0
12,11,0.31,0,junior,8,E,13,0
10,29,0.86,3,senior,21,B,49,1
4,2,0.38,4,lead,3,A,14,0
8,21,0.63,1,manager,16,C,56,1
2,23,0.64,1,mid,2,E,7,0
5,10,0.61,3,manager,9,A,14,1
7,21,0.87,3,lead,6,A,14,1
15,18,0.73,6,senior,16,A,29,1
3,16,0.54,8,lead,26,C,51,0
5,26,0.41,2,manager,17,D,18,0
4,1,0.89,10,senior,20,C,24,0
6,24,0.65,5,mid,17,D,40,1
15,13,0.82,8,lead,26,B,17,0
2,7,0.46,7,mid,27,D,40,0
9,18,0.82,10,manager,23,D,1,0
10,11,0.6,10,senior,18,A,35,1
8,26,0.65,3,mid,22,B,25,0
1,14,0.82,10,mid,9,E,45,1
7,22,0.64,10,lead,21,B,21,0
12,10,0.41,7,senior,27,E,42,0
6,9,0.38,5,senior,12,E,19,0
7,15,0.41,6,lead,6,D,20,0
13,23,0.86,8,senior,20,B,59,1
3,6,0.56,6,lead,27,A,10,1
2,23,0.48,10,manager,23,B,44,0
7,11,0.61,5,lead,7,B,6,0
4,3,0.86,4,lead,18,E,58,1
8,28,0.55,8,senior,12,D,52,0
2,13,0.42,6,mid,20,D,46,0
6,27,0.42,2,senior,8,B,47,1
12,11,0.61,8,junior,6,D,45,1
6,2,0.66,0,manager,27,A,14,0
7,30,0.42,1,manager,30,B,8,1
5,29,0.8,8,lead,12,A,55,1
9,0,0.91,9,manager,2,B,14,0
1,21,0.59,6,junior,13,E,53,1
9,23,0.68,2,mid,20,E,34,0
14,2,0.89,7,senior,21,E,25,0
1,7,0.91,1,junior,26,D,6,1
8,8,0.63,9,lead,5,E,57,1
12,23,0.89,1,lead,28,C,8,1
4,21,0.87,1,manager,1,A,4,1
5,28,0.31,3,senior,12,D,37,0
7,19,0.81,3,mid,25,B,43,1
7,22,0.38,3,manager,23,E,45,0
1,28,0.41,8,mid,19,E,21,0
1,15,0.95,10,manager,27,A,37,1
1,26,0.7,7,lead,19,D,3,0
4,7,0.76,6,mid,30,A,52,1
9,27,0.88,2,manager,28,C,54,1
14,15,0.56,6,senior,24,A,36,1
3,15,0.42,9,lead,29,E,45,0
11,19,0.52,8,junior,8,C,9,0
9,22,0.47,10,senior,19,B,53,0
1,28,0.85,10,senior,15,D,32,0
4,12,0.55,2,mid,24,A,43,1
14,20,0.68,9,senior,18,C,33,0
12,27,0.48,1,lead,29,A,53,1
7,6,0.64,3,lead,7,E,51,1
6,7,0.41,6,junior,21,A,21,1
2,17,0.79,8,junior,2,C,15,0
6,28,0.84,6,lead,7,A,15,1
5,20,0.72,9,senior,18,D,14,0
11,21,0.51,4,manager,17,B,42,0
10,9,0.37,2,lead,13,C,7,0
14,23,0.77,1,mid,14,C,20,1
6,24,0.34,7,lead,4,C,49,0
1,25,0.31,2,lead,28,D,49,0
7,28,0.68,10,senior,6,A,20,1
8,12,0.36,10,manager,9,C,42,0
5,25,0.61,1,lead,14,A,6,1
3,18,0.37,7,mid,8,A,33,1
4,29,0.35,8,senior,28,A,39,1
3,20,0.51,8,junior,3,A,55,1
11,6,0.4,0,mid,11,C,5,0
2,29,0.45,5,mid,2,B,24,1
5,11,0.78,8,manager,14,A,57,1
12,6,0.5,8,lead,30,C,42,0
3,0,0.78,0,junior,27,D,29,0
13,6,0.33,9,junior,10,D,22,0
14,25,0.44,1,junior,6,A,16,1
11,27,0.87,0,manager,17,C,40,1
14,26,0.66,10,mid,18,D,48,1
8,15,0.78,0,junior,10,B,22,1
11,25,0.8,7,manager,7,C,1,0
4,4,0.54,9,manager,3,E,31,0
7,6,0.54,0,mid,9,A,32,0
1,25,0.9,0,junior,1,D,54,1
6,18,0.9,8,manager,17,E,52,1
4,9,0.46,6,mid,25,E,44,1
5,9,0.81,9,manager,22,A,34,1
3,14,0.56,2,mid,9,E,34,1
10,4,0.84,8,manager,2,D,23,0
6,15,0.51,3,lead,12,C,24,1
3,16,0.43,2,manager,30,C,9,0
8,22,0.44,4,manager,29,E,15,1
4,16,0.36,8,manager,22,A,4,1
5,17,0.87,3,lead,30,C,18,1
13,7,0.9,6,junior,19,A,12,0
3,18,0.49,5,junior,3,C,50,0
1,26,0.58,6,mid,17,D,36,1
5,2,0.78,6,senior,30,E,9,0
8,10,0.46,6,junior,27,A,8,1
9,19,0.31,10,mid,21,C,7,0
15,7,0.4,2,mid,27,B,53,0
5,26,0.84,10,junior,27,C,38,0
7,7,0.65,0,lead,9,A,5,1
10,25,0.76,6,mid,28,D,57,1
8,27,0.94,0,senior,28,B,12,1
8,1,0.87,10,manager,4,B,5,0
7,30,0.4,6,lead,2,D,38,0
2,15,0.91,1,mid,15,A,44,1
15,28,0.73,9,junior,30,E,16,0
12,20,0.7,9,manager,12,B,23,0
10,27,0.55,8,lead,29,B,34,0
4,9,0.38,0,senior,8,E,16,1
7,4,0.91,4,junior,27,D,1,0
5,28,0.41,3,lead,9,D,53,1
6,22,0.6,9,junior,1,C,36,0
6,6,0.5,8,manager,18,B,6,0
9,0,0.69,9,lead,2,A,28,0
8,28,0.5,1,senior,18,B,1,1
13,27,0.47,5,mid,18,C,38,0
15,30,0.86,2,manager,24,A,20,1
11,22,0.64,2,senior,30,C,51,1
9,16,0.5,5,junior,28,E,48,0
4,25,0.39,8,manager,20,A,51,1
8,18,0.93,5,senior,4,D,52,1
7,8,0.54,8,mid,6,C,29,0
9,21,0.81,10,lead,28,D,52,1
15,4,0.73,4,lead,4,C,58,1
6,4,0.51,8,lead,19,E,53,0
15,27,0.73,7,manager,1,D,41,1
1,14,0.89,0,lead,28,D,59,1
5,8,0.3,7,mid,4,C,35,0
7,26,0.82,7,lead,5,B,12,0
3,1,0.46,4,mid,11,D,49,0
7,8,0.89,0,manager,22,E,17,1
6,7,0.91,5,lead,23,C,50,1
6,14,0.79,4,mid,26,C,22,1
10,7,0.48,0,junior,6,C,17,0
9,21,0.65,6,senior,28,A,33,1
15,6,0.91,2,mid,7,D,13,0
5,9,0.37,8,manager,13,A,58,1
14,17,0.42,0,mid,22,C,56,1
2,30,0.41,10,manager,22,C,51,0
10,3,0.48,10,junior,11,B,13,0
11,0,0.63,2,lead,17,B,30,0
7,0,0.8,5,manager,5,D,29,0
11,0,0.48,5,lead,16,A,48,0
15,20,0.45,8,junior,26,A,22,1
1,12,0.5,5,junior,14,C,41,1
6,29,0.91,10,lead,29,D,15,0
4,6,0.54,10,mid,6,C,20,0
3,9,0.64,1,junior,27,C,17,0
9,18,0.36,0,junior,2,B,37,1
9,21,0.84,6,lead,30,E,57,1
2,30,0.48,10,junior,26,D,2,0
1,23,0.61,7,junior,5,E,39,0
9,10,0.69,3,manager,12,A,29,1
1,10,0.85,4,manager,10,D,60,1
2,12,0.65,3,manager,28,B,54,1
5,0,0.35,4,mid,12,B,9,0
12,9,0.94,7,manager,17,E,42,1
1,10,0.87,4,mid,1,A,29,1
3,25,0.77,3,junior,29,D,54,1
3,6,0.35,8,lead,25,C,26,0
12,22,0.39,0,mid,5,A,21,1
11,24,0.62,9,mid,6,A,54,1
12,15,0.86,0,lead,21,A,59,1
9,1,0.84,9,manager,11,D,24,0
3,20,0.56,10,senior,7,E,20,0
10,2,0.65,2,mid,7,C,21,0
1,17,0.83,8,mid,18,E,30,0
15,22,0.73,10,junior,15,C,4,0
5,1,0.86,1,junior,15,C,36,0
2,2,0.45,10,manager,19,D,40,0
15,30,0.44,8,senior,25,A,10,1
7,6,0.85,7,lead,25,B,25,0
12,15,0.38,3,mid,26,C,3,0
6,21,0.46,1,lead,18,B,0,0
10,11,0.63,6,mid,6,C,10,0
3,5,0.68,10,lead,2,A,59,1
13,29,0.34,4,mid,1,D,60,0
9,27,0.67,3,manager,22,D,33,1
8,18,0.68,1,lead,7,A,31,1
4,5,0.45,5,manager,19,B,5,1
8,0,0.94,2,mid,11,C,51,1
13,11,0.84,6,lead,25,B,33,0
10,19,0.38,9,senior,25,E,16,0
7,2,0.39,1,senior,11,D,29,0
5,11,0.38,7,junior,29,C,40,0
10,9,0.34,3,manager,11,D,25,0
8,27,0.39,1,senior,9,E,50,0
12,15,0.89,0,lead,9,D,52,1
3,12,0.33,8,manager,3,E,37,0
14,20,0.64,8,senior,26,C,53,1
13,23,0.9,8,lead,18,B,20,0
7,29,0.59,2,manager,15,A,27,1
5,23,0.65,0,senior,29,B,14,0
3,24,0.7,7,manager,3,B,52,1
4,5,0.6,9,junior,29,A,53,1
1,4,0.75,0,junior,20,E,7,1
15,9,0.6,1,senior,9,D,58,0
11,3,0.65,3,mid,18,B,39,0
12,13,0.32,10,senior,16,C,55,0
9,15,0.88,1,junior,26,A,11,1
13,6,0.66,2,junior,24,C,33,0
10,23,0.52,1,junior,6,E,54,1
3,14,0.37,5,mid,14,A,11,1
15,25,0.36,9,lead,24,B,49,0
1,15,0.45,7,junior,29,E,29,0
5,5,0.93,10,mid,25,E,48,1
4,7,0.61,10,senior,2,A,47,1
10,19,0.33,5,mid,4,D,54,1
13,11,0.7,4,mid,21,D,22,0
13,5,0.89,8,senior,17,D,59,1
9,29,0.6,10,junior,27,A,14,1
13,26,0.8,10,mid,16,E,57,1
12,12,0.62,9,mid,11,A,27,1
5,12,0.48,1,mid,15,C,7,1
5,14,0.65,4,manager,30,E,34,0
3,18,0.76,10,senior,8,A,27,1
